agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
transit-authority-of-river-city-tarc,Transit Authority of River City (TARC),F,16.4,2026-07-10,stale,-398,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
transit-authority-of-northern-kentucky-tank,Transit Authority of Northern Kentucky (TANK),F,30.6,2026-07-10,stale,-922,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
lextran,Lextran,F,36.5,2026-07-10,stale,-1798,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
transit-authority-of-river-city-tarc-2662,Fixed Route,D,63.2,2026-07-09,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,
blue-grass-community-action-partnership,Bluegrass Ultra-Transit Service,D,63.5,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
blue-grass-community-action-partnership-362,Bluegrass Ultra-Transit Service,D,63.5,2026-07-09,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
lextran-2067,Lextran,D,67.3,2026-07-09,current,37,yes,Service data expires in 37 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
transit-authority-of-northern-kentucky-tank-2068,Transit Authority of Northern Kentucky (TANK),C,70.9,2026-07-09,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
