agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
jeffco-express,JeffCo Express,F,43.7,2026-08-07,stale,-1954,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
kansas-city-area-transportation-authority-kcata,Kansas City Area Transportation Authority (KCATA),F,54.5,2026-08-07,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
madison-county-transit-1145,Madison County Transit,F,7.0,2026-08-07,stale,-1553,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
metro-st-louis,Metro St. Louis,D,63.1,2026-08-07,expiring_soon,23,yes,Service data expires in 23 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
metro-st-louis-2035,Loop Trolley,C,77.1,2026-08-07,current,79,no,,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",ready
