agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
minnesota-valley-transit-authority-mvta,Minnesota Valley Transit Authority (MVTA),F,47.4,2026-07-10,expiring_soon,30,yes,Service data expires in 30 day(s),Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
rochester-city-lines,Rochester City Lines,F,50.9,2026-07-10,stale,-3843,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
duluth-transit,Duluth Transit,F,58.6,2026-07-10,current,50,yes,Service data expires in 50 day(s),"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",
city-of-winona-mn-winona-transit-service,City of Winona MN - Winona Transit Service,D,61.7,2026-07-10,lapsed,-190,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
the-otter-express,Flex v2 included,D,61.7,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
brown-county-heartland-express,Flex v2 included,D,62.6,2026-07-10,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.,
metro-transit,Metro Transit,C,79.8,2026-07-10,current,42,yes,Grade slipped from B to C,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
brown-county-heartland-express-2296,Fixed route + flex,B,80.2,2026-07-10,current,206,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
central-community-transit,Central Community Transit,B,83.6,2026-07-10,current,175,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
