agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
kimball-county-transit-service,Kimball County Transit Service,F,51.9,2026-08-07,lapsed,-205,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
omaha-metro,Omaha Metro,F,39.3,2026-08-07,stale,-2253,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
startran,StarTran,F,52.1,2026-08-07,stale,-2045,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",at_risk
omaha-metro-2261,Omaha Metro,C,72.0,2026-08-07,current,106,no,,"Set wheelchair_accessible on every trip. If every vehicle is accessible, this may be one default; otherwise use the value for each trip.",ready
startran-2269,StarTran,D,68.2,2026-08-07,current,511,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
