agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
charleston-area-regional-transportation-authority-carta,Charleston Area Regional Transportation Authority (CARTA),D,66.3,2026-08-07,expiring_soon,8,yes,Service data expires in 8 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
clemson-area-transit-cat,Clemson Area Transit (CAT),F,46.6,2026-08-07,stale,-2429,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
the-comet,The Comet,F,36.3,2026-08-07,stale,-1610,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
the-comet-2209,The Comet,B,81.1,2026-08-07,current,155,no,,"Set wheelchair_accessible on every trip. If every vehicle is accessible, this may be one default; otherwise use the value for each trip.",ready
