agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
city-of-jackson-jtran,City of Jackson (JTRAN),D,68.9,2026-08-07,expiring_soon,29,yes,Grade slipped from C to D,Re-export with a validity window that reaches at least 60 days out.,ready
jtran,JTRAN,F,45.4,2026-08-07,stale,-1680,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
gulf-islands-national-seashore-3210,Ship Island Excursions,A,98.2,2026-08-07,current,86,no,,Remove past service periods the next time you export the feed.,ready
