agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
swiss-demand-responsive-ski-plus,Swiss demand-responsive services (SKI+),C,70.4,2026-08-07,current,127,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
swiss-national-timetable-2026,Swiss national timetable (opentransportdata.swiss),F,49.8,2026-08-07,current,127,no,,Review the rule documentation for 'duplicate_key' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
