agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
embark,Embark,F,43.7,2026-08-07,stale,-979,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
metropolitan-tulsa-transit-authority-mtta,Metropolitan Tulsa Transit Authority (MTTA),F,28.3,2026-08-07,stale,-1084,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
campus-area-rapid-transit-cart,Campus Area Rapid Transit (CART),D,67.6,2026-08-07,current,26809,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
embark-2062,Embark,B,87.1,2026-08-07,current,364,no,,"Use mixed case for stop names and headsigns (e.g. 'Main St & 2nd Ave', not 'MAIN ST & 2ND AVE').",ready
