agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
port-authority-trans-hudson-path,Port Authority Trans-Hudson (PATH),F,52.9,2026-07-08,lapsed,-37,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
port-authority-trans-hudson-path-517,Port Authority Trans-Hudson (PATH),F,52.9,2026-07-08,lapsed,-37,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
patco-speedline,PATCO Speedline,A,94.0,2026-07-08,current,54,yes,Service data expires in 54 day(s),Remove past service periods the next time you export the feed.,at_risk
new-jersey-transit-nj-transit,Bus,F,36.4,2026-07-08,current,170,no,,Re-generate shape distances in your export; flag to your vendor if it persists.,
new-jersey-transit-nj-transit-509,Rail,F,43.2,2026-07-08,current,170,no,,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
boxcar,Boxcar Commuter Bus,B,82.4,2026-07-08,current,365,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
patco-speedline-3035,PATCO Speedline,A,100.0,2026-07-08,current,176,no,,,ready
