agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
unitrans,Unitrans (ASUCD / City of Davis),C,72.6,2026-08-07,current,46,yes,Score fell 3.0 points since 2026-08-06,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
yolobus,Yolobus (Yolo County Transportation District),C,74.4,2026-08-07,current,31,yes,Service data expires in 31 day(s),"Set wheelchair_accessible on every trip. If every vehicle is accessible, this may be one default; otherwise use the value for each trip.",ready
