agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
dc-streetcar,DC Streetcar,F,45.9,2026-08-07,stale,-1163,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
dc-streetcar-2223,DC Streetcar,F,57.2,2026-08-07,stale,-403,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
dc-circulator,Service Discontinued,F,39.4,2026-08-07,stale,-1588,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",ready
washington-metropolitan-area-transit-authority-wmata,Washington Metropolitan Area Transit Authority (WMATA) Bus,D,68.0,2026-08-07,current,36,yes,Service data expires in 36 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
washington-metropolitan-area-transit-authority-wmata-1847,Washington Metropolitan Area Transit Authority (WMATA) Rail,F,41.7,2026-08-07,expiring_soon,7,yes,Service data expires in 7 day(s),Re-export with a validity window that reaches at least 60 days out.,ready
