ntd_id,agency_name,doing_business_as,state,reporter_type,organization_type,agency_url,match_tier,match_evidence
50434,Pickaway Area Rural Transit,PICCA Transit,OH,Rural Reporter,Private-Non-Profit Corporation,https://www.picca.info/transportation-1,no_candidate,
50436,St. Joseph County Transportation Authority,,MI,Rural Reporter,Independent Public Agency or Authority of Transit Service,http://www.sjcta.info/,no_candidate,
50437,City of Big Rapids,,MI,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.cityofbr.org/government/dial-a-ride/senior_riders.php,no_candidate,
50438,Logan Transit System,Logan Public Transit,OH,Rural Reporter,Private-Non-Profit Corporation,https://hapcap.org/transportation/logan-public-transit/,no_candidate,
50440,Seneca-Crawford Area Transportation,North Central Area Transit,OH,Rural Reporter,Private-Non-Profit Corporation,http://www.senecascat.org/,weak_shared_token,registry:central-ohio-transit-authority-cota
50442,County of La Crosse,Scenic Mississippi Regional Transit,WI,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.lacrossecounty.org/community-development,no_candidate,
50447,Coles County,Coles County Council on Aging,IL,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.dialaridetransit.org/coles-county-public-transportation.html,no_candidate,
50450,"Cedar Valley Services, Inc.",Southern Minnesota Area Rural Transit,MN,Rural Reporter,Private-Non-Profit Corporation,www.smartbusmn.org,weak_shared_token,registry:minnesota-valley-transit-authority-mvta
50461,City of Manitowoc,Maritime Metro Transit,WI,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.manitowoc.org/433/Maritime-Metro-Transit,no_candidate,
50464,Pike County/Community Action Transit System,Community Action Transit System,OH,Rural Reporter,Private-Non-Profit Corporation,http://www.catsservices.org/,no_candidate,
50471,"Southwestern MN Opportunity Council, Inc.",Prairieland Transit System,MN,Rural Reporter,Private-Non-Profit Corporation,http://www.smoc.us/id70.html,no_candidate,
50474,"Tri-County Action Program, Inc.",,MN,Rural Reporter,Private-Non-Profit Corporation,https://tricap.org/transportation/,no_candidate,
