id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
logan-express-601,Logan Express,2026-07-10,F,48.4,67.8,0.0,60.0,,-2016,within_review_threshold
london-transit-commission,London Transit Commission (Ontario),2026-07-10,C,73.8,87.5,95.0,37.5,,57,within_review_threshold
long-beach-transit-lbt,Long Beach Transit (LBT),2026-07-10,F,37.5,7.2,71.7,52.5,,43,within_review_threshold
long-island-rail-road,Long Island Rail Road,2026-07-10,C,77.8,85.5,83.3,62.5,,59,within_review_threshold
los-angeles-county-department-of-public-works-the-link-and-shuttles,Los Angeles County Department of Public Works (the LINK and shuttles),2026-07-10,B,85.7,97.8,100.0,57.2,,114,within_review_threshold
los-angeles-county-department-of-public-works-the-link-and-shuttles-28,Los Angeles County Department of Public Works (the LINK and shuttles),2026-07-10,B,85.7,97.8,100.0,57.2,,114,within_review_threshold
los-angeles-county-metropolitan-transportation-authority-la-metro,Bus,2026-07-10,C,72.2,75.8,100.0,45.0,,155,within_review_threshold
los-angeles-county-metropolitan-transportation-authority-la-metro-30,Rail,2026-07-10,F,54.3,87.2,8.3,45.0,,14,within_review_threshold
los-angeles-department-of-transportation-ladot-dash-commuter-express,LADOT (DASH and Commuter Express),2026-07-10,F,50.2,25.5,100.0,45.0,,539,within_review_threshold
loudoun-county-transit,Loudoun County Transit,2026-07-10,C,74.8,87.5,100.0,37.0,,260,within_review_threshold
loudoun-county-transit-2411,Flex,2026-07-10,C,77.3,94.0,88.3,45.0,,53,within_review_threshold
lowell-regional-transit-authority-lrta,Lowell Regional Transit Authority (LRTA),2026-07-10,D,60.4,86.0,35.0,45.0,,21,within_review_threshold
lowell-regional-transit-authority-lrta-444,Lowell Regional Transit Authority (LRTA),2026-07-10,D,60.4,86.0,35.0,45.0,,21,within_review_threshold
lower-columbia-cap-community-action-program,Lower Columbia CAP (Community Action Program),2026-07-10,F,48.1,88.5,0.0,30.0,,-365,within_review_threshold
lower-columbia-cap-community-action-program-568,Lower Columbia CAP (Community Action Program),2026-07-10,F,48.1,88.5,0.0,30.0,,-365,within_review_threshold
lower-hudson-valley-transit,Lower Hudson Valley Transit,2026-07-10,D,69.8,75.5,100.0,37.5,,353,within_review_threshold
lummi-island-ferry,Lummi Island Ferry,2026-07-10,D,65.5,86.0,36.7,60.0,,22,within_review_threshold
lummi-transit,Lummi Transit,2026-07-10,F,42.6,76.0,0.0,30.0,,-58,within_review_threshold
lynwood-trolley-breeze,Lynwood Trolley / Breeze,2026-07-10,F,46.8,74.5,0.0,45.4,,-556,within_review_threshold
madera-county-transit,Madera County Transit,2026-07-10,C,73.8,98.0,100.0,51.3,33.3,175,within_review_threshold
madera-county-transit-572,Madera County Transit,2026-07-10,C,73.8,98.0,100.0,51.3,33.3,175,within_review_threshold
madison-county-transit,Madison County Transit,2026-07-10,D,63.1,65.5,100.0,30.2,,217,within_review_threshold
madison-county-transit-1145,Madison County Transit,2026-07-10,F,7.0,0.0,0.0,22.5,,-1525,within_review_threshold
makah-public-transit,Makah Public Transit,2026-07-10,F,53.7,69.2,0.0,75.0,,-831,within_review_threshold
makah-public-transit-2196,Makah Public Transit,2026-07-10,B,80.2,94.0,100.0,45.0,,114,within_review_threshold
makah-public-transit-574,Makah Public Transit,2026-07-10,F,53.7,69.2,0.0,75.0,,-831,within_review_threshold
malheur-council-on-aging-community-services,Malheur Council on Aging & Community Services,2026-07-10,C,72.6,94.0,88.3,30.0,,53,within_review_threshold
manatee-county-area-transit,Manatee County Area Transit,2026-07-10,F,39.0,46.2,0.0,60.0,,-2041,within_review_threshold
manatee-county-area-transit-2258,Manatee County Area Transit,2026-07-10,C,74.3,70.0,100.0,59.8,,329,within_review_threshold
manteca-transit,Manteca Transit,2026-07-10,C,79.6,90.0,100.0,48.8,,144,within_review_threshold
marble-valley-regional-transit-district-mvrtd,Marble Valley Regional Transit District (MVRTD),2026-07-10,C,71.3,73.8,86.7,55.6,,52,within_review_threshold
marble-valley-regional-transit-district-mvrtd-2831,Flex,2026-07-10,F,59.9,47.8,86.7,55.5,,52,within_review_threshold
marble-valley-regional-transit-district-mvrtd-430,Marble Valley Regional Transit District (MVRTD),2026-07-10,C,71.3,73.8,86.7,55.6,,52,within_review_threshold
marin-transit,Marin Transit,2026-07-10,D,67.7,58.2,50.0,95.0,,30,within_review_threshold
